place,name,population,lng,lat
town,Volketswil,14070,8.6908127,47.3893142
town,Richterswil,12534,8.7017051,47.2091079
town,Uster,32285,8.7179221,47.3512065
town,Illnau,,8.7255432,47.4088363
city,Winterthur,104468,8.7291495,47.4991692
town,Stäfa,11567,8.7348747,47.2413349
town,Einsiedeln,12622,8.7500299,47.1286095
town,Pfäffikon,7042,8.7826669,47.2022565
town,Locarno,15671,8.7954217,46.1695112
town,Wetzikon,18129,8.7998807,47.3225107
town,Rapperswil,26354,8.8245459,47.2269198
town,Jona,26177,8.837658,47.2299661
town,Rüti,10804,8.8527389,47.2580331
town,Frauenfeld,24119,8.8963993,47.556228
town,Gravesano,,8.9160782,46.0416675
town,Lugano,58658,8.9520281,46.0050102
town,Mendrisio,12129,8.9873461,45.8709902
town,Bellinzona,17962,9.0204562,46.1918617
town,Wil,16392,9.0423202,47.4654409
town,Glarus,12312,9.0674041,47.0422116
town,Wattwil,8265,9.0871047,47.300445
town,Weinfelden,10066,9.1097539,47.5669187
town,Uzwil,4465,9.1333201,47.4370506
town,Kreuzlingen,20520,9.1725561,47.6464245
town,Münsterlingen,2599,9.2329998,47.631287
town,Gossau,17827,9.249359,47.4155906
town,Herisau,15222,9.2787571,47.38555
town,Amriswil,11357,9.2981219,47.5500227
town,Engelburg,,9.3424302,47.4444491
town,St. Gallen,74111,9.3765878,47.4250593
town,Romanshorn,9076,9.3776036,47.5654452
town,Appenzell,5751,9.4097975,47.3295714
town,Arbon,12906,9.4304026,47.5149257
town,Buchs,10399,9.4764086,47.1627634
town,Chur,34087,9.5254066,46.855515
town,Altstätten,8324,9.5412765,47.3783471
town,Davos,11156,9.8237266,46.7961744
